timestamps,TP9,AF7,AF8,TP10,Right AUX
1578401993.280,43.457,24.902,27.344,39.062,2.441
1578401993.284,42.480,26.367,37.109,27.832,59.570
1578401993.288,44.922,35.645,56.641,27.344,41.992
1578401993.292,40.039,38.086,59.570,40.039,2.930
1578401993.296,41.504,38.086,48.340,48.828,36.621
1578401993.300,52.246,39.551,46.387,41.992,36.133
1578401993.304,43.945,32.715,48.340,28.320,13.184
1578401993.308,32.715,23.438,44.922,26.367,14.160
1578401993.312,38.574,32.227,42.969,40.039,43.945
1578401993.316,35.156,27.832,30.762,44.434,60.547
1578401993.320,26.367,34.180,28.809,36.621,82.520
1578401993.323,25.879,30.762,41.992,33.203,58.594
1578401993.327,25.391,19.531,56.152,35.645,26.855
1578401993.331,19.531,19.531,44.434,30.273,40.527
1578401993.335,28.809,34.668,41.992,47.852,21.973
1578401993.339,22.949,45.410,42.480,42.969,54.688
1578401993.343,9.277,24.414,32.715,10.742,11.230
1578401993.347,15.625,21.973,50.293,17.578,6.836
1578401993.351,17.090,30.762,51.758,22.949,82.031
1578401993.355,22.461,35.645,35.645,30.273,80.078
1578401993.359,29.785,37.109,19.043,32.227,88.867
1578401993.362,34.668,30.273,30.273,29.297,99.609
1578401993.366,32.715,27.344,57.617,32.227,32.715
1578401993.370,26.367,32.715,50.293,28.809,-6.348
1578401993.374,27.344,38.574,44.434,31.738,29.297
1578401993.378,24.902,43.457,41.992,29.785,20.020
1578401993.382,26.367,42.480,36.621,24.414,43.457
1578401993.386,36.133,34.180,47.852,28.809,3.418
1578401993.390,20.996,29.785,47.363,28.320,-18.066
1578401993.394,23.438,32.715,28.320,34.180,61.035
1578401993.398,32.227,29.297,28.809,39.062,80.566
1578401993.402,20.996,12.207,23.926,28.809,47.363
1578401993.405,30.762,19.043,37.598,32.715,23.926
1578401993.409,36.621,25.391,52.734,44.434,-10.254
1578401993.413,29.785,22.949,34.180,38.574,17.090
1578401993.417,54.688,57.617,42.969,62.012,69.336
1578401993.421,62.500,54.688,27.832,61.035,50.293
1578401993.425,45.410,22.461,19.531,27.832,62.012
1578401993.429,47.363,28.809,39.062,28.320,68.848
1578401993.433,50.781,35.156,22.461,35.156,73.730
1578401993.437,52.246,38.086,18.066,32.715,60.059
1578401993.441,57.129,51.758,29.297,32.227,28.809
1578401993.445,69.824,45.898,42.969,34.668,61.523
1578401993.448,70.801,46.387,40.527,38.574,42.480
1578401993.452,65.430,51.758,34.668,51.270,35.156
1578401993.456,83.496,44.434,44.434,79.102,11.719
1578401993.460,72.266,42.480,45.410,61.035,26.367
1578401993.464,11.230,37.109,41.504,-8.301,53.711
1578401993.468,-9.766,39.551,34.180,-33.691,44.434
1578401993.472,-2.930,48.340,33.203,-23.926,102.051
1578401993.476,-14.160,57.617,55.664,-29.297,111.816
1578401993.480,-41.992,64.941,63.965,-57.129,80.566
1578401993.484,-68.359,49.316,57.129,-85.938,43.945
1578401993.487,-79.102,53.711,68.359,-102.051,35.156
1578401993.491,-91.309,68.848,76.172,-101.562,27.344
1578401993.495,-111.816,72.754,76.660,-107.910,23.438
1578401993.499,-130.371,74.219,83.008,-133.301,20.996
1578401993.503,-151.367,58.105,81.055,-153.809,-33.691
1578401993.507,-159.180,62.500,74.707,-165.527,-27.344
1578401993.511,-164.062,74.707,76.172,-168.945,-29.297
1578401993.515,-172.852,81.543,80.566,-165.039,-10.742
1578401993.519,-172.852,85.449,83.984,-166.016,76.660
1578401993.523,-169.922,96.191,76.660,-171.387,77.637
1578401993.527,-170.410,95.215,73.730,-175.781,9.277
1578401993.530,-161.621,89.355,73.730,-165.039,33.203
1578401993.534,-126.465,93.750,78.125,-121.582,34.180
1578401993.538,-122.070,69.824,71.777,-123.047,51.270
1578401993.542,-121.582,65.430,45.898,-137.207,83.984
1578401993.546,-85.938,82.031,46.387,-107.910,24.414
1578401993.550,-74.707,70.801,39.551,-94.238,-10.254
1578401993.554,-69.824,55.176,28.809,-83.984,16.602
1578401993.558,-53.711,52.734,31.738,-73.242,80.566
1578401993.562,-41.016,48.828,16.113,-65.430,94.727
1578401993.566,-16.602,47.852,9.277,-42.969,54.688
1578401993.570,10.742,41.992,21.484,-13.672,22.461
1578401993.573,12.695,22.461,20.996,2.930,37.109
1578401993.577,18.555,23.438,13.184,15.137,53.711
1578401993.581,47.852,36.621,17.578,31.738,62.500
1578401993.585,71.777,43.457,27.832,46.875,41.992
1578401993.589,71.289,35.645,28.809,57.617,-10.254
1578401993.593,61.523,22.949,12.207,62.500,-5.371
1578401993.597,65.430,33.203,8.789,70.801,19.043
1578401993.601,78.613,38.086,15.625,74.219,10.742
1578401993.605,67.871,18.555,1.953,60.059,-46.387
1578401993.609,62.500,2.930,2.930,63.477,-64.941
1578401993.612,72.266,11.230,19.043,80.078,33.203
1578401993.616,74.219,29.297,25.391,88.379,98.633
1578401993.620,69.336,26.855,21.973,81.055,73.242
1578401993.624,81.055,37.109,21.484,81.055,-4.395
1578401993.628,88.379,37.109,20.508,86.914,5.859
1578401993.632,72.266,21.973,17.578,79.102,85.449
1578401993.636,66.406,12.207,-0.977,69.824,103.027
